Info 0    [20:11:42.543] Starting TS Server
Info 1    [20:11:42.544] Version: 3.9.5
Info 2    [20:11:42.544] Arguments: /usr/bin/node /usr/bin/tsserver --logFile /home/alex/Programming/full-stack-open-part3/frontend/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/8ba9ecb0d12bc6cc30ca09d97f684f4d/tscancellation*
Info 3    [20:11:42.544] Platform: linux NodeVersion: 14 CaseSensitive: true
Info 4    [20:11:42.559] Search path: /home/alex/Programming/full-stack-open-part3/frontend/src/services
Info 5    [20:11:42.561] For info: /home/alex/Programming/full-stack-open-part3/frontend/src/services/persons.js :: No config files found.
Info 6    [20:11:42.566] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [20:11:46.343] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 3777ms
Info 8    [20:11:46.343] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [20:11:46.343] 	Files (180)

Info 10   [20:11:46.343] -----------------------------------------------
Info 11   [20:11:46.859] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [20:11:46.861] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 2ms
Info 13   [20:11:49.108] Before ensureProjectForOpenFiles:
Info 14   [20:11:49.108] After ensureProjectForOpenFiles:
Info 15   [20:11:49.108] got projects updated in background, updating diagnostics for /home/alex/Programming/full-stack-open-part3/frontend/src/services/persons.js
Info 16   [20:12:28.226] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [20:12:28.368] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 141ms
Info 18   [20:12:28.368] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 19   [20:12:28.927] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [20:12:29.40] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 113ms
Info 21   [20:12:29.40] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 22   [20:12:29.42] getCompletionData: Get current token: 0
Info 23   [20:12:29.42] getCompletionData: Is inside comment: 0
Info 24   [20:12:29.42] getCompletionData: Get previous token 1: 0
Info 25   [20:12:29.43] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 26   [20:12:29.51] getCompletionData: Semantic work: 8
Info 27   [20:12:29.56] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1
Info 28   [20:12:29.70] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [20:12:29.122] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 52ms
Info 30   [20:12:29.122] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 31   [20:12:29.123] getCompletionData: Get current token: 0
Info 32   [20:12:29.123] getCompletionData: Is inside comment: 0
Info 33   [20:12:29.123] getCompletionData: Get previous token 1: 0
Info 34   [20:12:29.123] getCompletionData: Get previous token 2: 0
Info 35   [20:12:29.123] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 36   [20:12:29.129] getCompletionData: Semantic work: 6
Info 37   [20:12:29.133] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 3
Info 38   [20:12:29.141] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 39   [20:12:29.277] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 136ms
Info 40   [20:12:29.277] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 41   [20:12:29.277] getCompletionData: Get current token: 0
Info 42   [20:12:29.278] getCompletionData: Is inside comment: 0
Info 43   [20:12:29.278] getCompletionData: Get previous token 1: 0
Info 44   [20:12:29.278] getCompletionData: Get previous token 2: 0
Info 45   [20:12:29.278] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 46   [20:12:29.286] getCompletionData: Semantic work: 8
Info 47   [20:12:29.288] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1
Info 48   [20:12:29.289] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 49   [20:12:29.344] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 55ms
Info 50   [20:12:29.344] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 51   [20:12:29.344] getCompletionData: Get current token: 0
Info 52   [20:12:29.344] getCompletionData: Is inside comment: 0
Info 53   [20:12:29.344] getCompletionData: Get previous token 1: 0
Info 54   [20:12:29.344] getCompletionData: Get previous token 2: 0
Info 55   [20:12:29.344] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 56   [20:12:29.351] getCompletionData: Semantic work: 7
Info 57   [20:12:29.353] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 2
Info 58   [20:12:29.353] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 59   [20:12:29.403] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 50ms
Info 60   [20:12:29.403] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 61   [20:12:29.403] getCompletionData: Get current token: 0
Info 62   [20:12:29.403] getCompletionData: Is inside comment: 0
Info 63   [20:12:29.403] getCompletionData: Get previous token 1: 0
Info 64   [20:12:29.404] getCompletionData: Get previous token 2: 1
Info 65   [20:12:29.404] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 66   [20:12:29.409] getCompletionData: Semantic work: 5
Info 67   [20:12:29.410] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1
Info 68   [20:12:29.434] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 69   [20:12:29.481] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 47ms
Info 70   [20:12:29.481] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 71   [20:12:29.481] getCompletionData: Get current token: 0
Info 72   [20:12:29.482] getCompletionData: Is inside comment: 0
Info 73   [20:12:29.482] getCompletionData: Get previous token 1: 0
Info 74   [20:12:29.482] getCompletionData: Get previous token 2: 0
Info 75   [20:12:29.482] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 76   [20:12:29.488] getCompletionData: Semantic work: 6
